epoch,batch,loss,accuracy,batch_size
9,15,0.7481871247291565,0.72,50
9,16,0.8664101958274841,0.64,50
9,17,0.9207863807678223,0.64,50
9,18,0.9402878284454346,0.7,50
9,19,1.0939195156097412,0.56,50
9,20,0.8130987286567688,0.76,50
9,21,0.7637661695480347,0.6521739130434783,46
10,0,0.8385222554206848,0.72,50
10,1,0.7346426248550415,0.68,50
10,2,0.7629415392875671,0.64,50
10,3,0.9935539364814758,0.56,50
10,4,0.819039523601532,0.74,50
10,5,0.917375385761261,0.7,50
10,6,0.7220737934112549,0.72,50
10,7,0.7580321431159973,0.72,50
10,8,0.9319668412208557,0.62,50
10,9,1.0359028577804565,0.58,50
10,10,0.805310845375061,0.78,50
10,11,0.8834595680236816,0.78,50
10,12,0.44530245661735535,0.82,50
10,13,0.9247422814369202,0.66,50
10,14,0.8053117990493774,0.72,50
10,15,0.694071888923645,0.78,50
10,16,0.8979367017745972,0.7,50
10,17,0.7806825041770935,0.64,50
10,18,0.817905604839325,0.68,50
10,19,0.7397233843803406,0.72,50
10,20,0.9220130443572998,0.7,50
10,21,1.2056399583816528,0.5869565217391305,46
11,0,0.6660974025726318,0.8,50
11,1,0.9068945050239563,0.62,50
11,2,0.738237738609314,0.7,50
11,3,0.6484740376472473,0.74,50
11,4,0.5786263942718506,0.78,50
11,5,0.7278321981430054,0.78,50
11,6,0.7357509732246399,0.74,50
11,7,0.7777059674263,0.76,50
11,8,0.7905213236808777,0.7,50
11,9,0.863044261932373,0.74,50
11,10,0.7508047223091125,0.7,50
11,11,0.8762014508247375,0.68,50
11,12,0.6845586895942688,0.76,50
11,13,0.767179012298584,0.74,50
11,14,0.8706194162368774,0.62,50
11,15,0.8011618256568909,0.7,50
11,16,0.655935525894165,0.82,50
11,17,0.8330106139183044,0.7,50
11,18,0.8149027228355408,0.72,50
11,19,0.7812300324440002,0.68,50
11,20,0.8836656212806702,0.7,50
11,21,0.8712583780288696,0.7391304347826086,46
12,0,0.6653751134872437,0.68,50
12,1,0.7054798007011414,0.78,50
12,2,0.6403366923332214,0.74,50
12,3,0.5759817361831665,0.82,50
12,4,0.5957147479057312,0.72,50
12,5,0.7056558728218079,0.72,50
12,6,0.7110826969146729,0.76,50
12,7,0.5576369166374207,0.8,50
12,8,0.5397578477859497,0.78,50
12,9,0.6868253350257874,0.78,50
12,10,0.7769129872322083,0.7,50
12,11,0.8731101751327515,0.64,50
12,12,0.6523815989494324,0.78,50
12,13,0.640562891960144,0.8,50
12,14,0.6812797784805298,0.8,50
12,15,0.6611627340316772,0.68,50
12,16,0.5859671235084534,0.78,50
12,17,0.5331886410713196,0.88,50
12,18,0.8446661233901978,0.74,50
12,19,0.6520909667015076,0.86,50
12,20,0.4877857565879822,0.82,50
12,21,0.6603557467460632,0.717391304347826,46
13,0,0.6905026435852051,0.76,50
13,1,0.5156660079956055,0.9,50
13,2,0.7173036932945251,0.7,50
13,3,0.6069115400314331,0.76,50
13,4,0.7210928201675415,0.74,50
13,5,0.5528892278671265,0.82,50
13,6,0.6940951347351074,0.66,50
13,7,0.6301261186599731,0.78,50
13,8,0.4622894525527954,0.88,50
13,9,0.5975959300994873,0.72,50
13,10,0.5018692016601562,0.82,50
13,11,0.6158776879310608,0.78,50
13,12,0.4792531728744507,0.84,50
13,13,0.49208247661590576,0.8,50
13,14,0.41166481375694275,0.86,50
13,15,0.9249670505523682,0.76,50
13,16,0.645801842212677,0.76,50
13,17,0.7577430009841919,0.68,50
13,18,0.6872574090957642,0.78,50
13,19,0.5228791832923889,0.78,50
13,20,0.8118019700050354,0.72,50
13,21,0.6207886338233948,0.7608695652173914,46
14,0,0.5925655364990234,0.7,50
14,1,0.5282502770423889,0.86,50
14,2,0.5828981995582581,0.76,50
14,3,0.4182284474372864,0.86,50
14,4,0.7383730411529541,0.66,50
14,5,0.6756490468978882,0.72,50
14,6,0.732697069644928,0.74,50
14,7,0.45742854475975037,0.82,50
14,8,0.6695520877838135,0.78,50
14,9,0.498055100440979,0.84,50
14,10,0.46829426288604736,0.82,50
14,11,0.4887165427207947,0.84,50
14,12,0.5222046971321106,0.84,50
14,13,0.48212364315986633,0.88,50
14,14,0.67194664478302,0.74,50
14,15,0.5087074637413025,0.8,50
14,16,0.511894166469574,0.86,50
14,17,0.7170107960700989,0.74,50
14,18,0.5609022378921509,0.8,50
14,19,0.39676234126091003,0.86,50
14,20,0.5333749055862427,0.88,50
14,21,0.6163651943206787,0.8043478260869565,46
15,0,0.5613316297531128,0.8,50
15,1,0.44831717014312744,0.86,50
15,2,0.5540585517883301,0.82,50
15,3,0.4728761613368988,0.84,50
15,4,0.2622290551662445,0.94,50
15,5,0.44962188601493835,0.84,50
15,6,0.4477130174636841,0.82,50
15,7,0.48918473720550537,0.82,50
15,8,0.3261152505874634,0.9,50
15,9,0.4041917026042938,0.86,50
15,10,0.5757495760917664,0.82,50
15,11,0.617499828338623,0.74,50
15,12,0.4714548885822296,0.92,50
15,13,0.4613468647003174,0.86,50
15,14,0.32256969809532166,0.92,50
15,15,0.40186354517936707,0.84,50
15,16,0.48137274384498596,0.84,50
