epoch,batch,loss,accuracy,batch_size
0,0,0.1374649703502655,0.98,50
0,1,0.08621692657470703,1.0,50
0,2,0.13321229815483093,0.98,50
0,3,0.10601548850536346,0.98,50
0,4,0.06624870002269745,1.0,50
0,5,0.07086600363254547,1.0,50
0,6,0.11297737807035446,0.96,50
0,7,0.09776456654071808,1.0,50
0,8,0.08504587411880493,0.98,50
0,9,0.12452712655067444,0.94,50
0,10,0.10674311965703964,0.98,50
0,11,0.09216724336147308,1.0,50
0,12,0.0832536518573761,1.0,50
0,13,0.058618515729904175,1.0,50
0,14,0.0941285714507103,0.96,50
0,15,0.03986009955406189,1.0,50
0,16,0.05286521837115288,0.98,50
0,17,0.0546872578561306,1.0,50
0,18,0.04041169956326485,1.0,50
0,19,0.052973970770835876,0.98,50
0,20,0.09869847446680069,0.98,50
0,21,0.06691386550664902,0.9565217391304348,46
1,0,0.011324587278068066,1.0,50
1,1,0.004987554624676704,1.0,50
1,2,0.015940556302666664,1.0,50
1,3,0.010611500591039658,1.0,50
1,4,0.0072417594492435455,1.0,50
1,5,0.016376987099647522,1.0,50
1,6,0.01503879576921463,1.0,50
1,7,0.014761867932975292,1.0,50
1,8,0.004973120521754026,1.0,50
1,9,0.0056206705048680305,1.0,50
1,10,0.006922049447894096,1.0,50
1,11,0.008488040417432785,1.0,50
1,12,0.010955304838716984,1.0,50
1,13,0.006258487701416016,1.0,50
1,14,0.007184228859841824,1.0,50
1,15,0.0035573767963796854,1.0,50
1,16,0.0083674481138587,1.0,50
1,17,0.005540098994970322,1.0,50
1,18,0.0036664390936493874,1.0,50
1,19,0.0023369884584099054,1.0,50
1,20,0.0033847331069409847,1.0,50
1,21,0.0033580013550817966,1.0,46
2,0,0.005642986390739679,1.0,50
2,1,0.0014299583854153752,1.0,50
2,2,0.002772374078631401,1.0,50
2,3,0.0019116163020953536,1.0,50
2,4,0.0013922118814662099,1.0,50
2,5,0.0029864502139389515,1.0,50
2,6,0.001478595775552094,1.0,50
2,7,0.0020259381271898746,1.0,50
2,8,0.0016413212288171053,1.0,50
2,9,0.0028311824426054955,1.0,50
2,10,0.0023299597669392824,1.0,50
2,11,0.0012918662978336215,1.0,50
2,12,0.0017253970727324486,1.0,50
2,13,0.0015291405143216252,1.0,50
2,14,0.0021769667509943247,1.0,50
2,15,0.006232128012925386,1.0,50
2,16,0.0058061410672962666,1.0,50
2,17,0.001456785248592496,1.0,50
2,18,0.0019069957779720426,1.0,50
2,19,0.00213312148116529,1.0,50
2,20,0.0028559542261064053,1.0,50
2,21,0.00163036840967834,1.0,46
3,0,0.0017397021874785423,1.0,50
3,1,0.0019111824221909046,1.0,50
3,2,0.0017891597235575318,1.0,50
3,3,0.001037273439578712,1.0,50
3,4,0.002101459540426731,1.0,50
3,5,0.0017982864519581199,1.0,50
3,6,0.0015103054465726018,1.0,50
3,7,0.0011730623664334416,1.0,50
3,8,0.001382913556881249,1.0,50
3,9,0.0009929847437888384,1.0,50
3,10,0.001284475321881473,1.0,50
3,11,0.002311878139153123,1.0,50
3,12,0.0012555980356410146,1.0,50
3,13,0.0014380455249920487,1.0,50
3,14,0.001278457697480917,1.0,50
3,15,0.0013065147213637829,1.0,50
3,16,0.0020319747272878885,1.0,50
3,17,0.0021254252642393112,1.0,50
3,18,0.0010345649207010865,1.0,50
3,19,0.0009336567018181086,1.0,50
3,20,0.0009396171662956476,1.0,50
3,21,0.0023674757685512304,1.0,46
4,0,0.0012320232344791293,1.0,50
4,1,0.000790233607403934,1.0,50
4,2,0.0007499217754229903,1.0,50
4,3,0.0007205868023447692,1.0,50
4,4,0.001192550640553236,1.0,50
4,5,0.0014888382283970714,1.0,50
4,6,0.0006162833888083696,1.0,50
4,7,0.0009051132365129888,1.0,50
4,8,0.0009620189666748047,1.0,50
4,9,0.0015202808426693082,1.0,50
4,10,0.000882215506862849,1.0,50
4,11,0.00168072700034827,1.0,50
