epoch,batch,loss,accuracy,batch_size
0,0,2.3894591331481934,0.18,50
0,1,2.3674261569976807,0.12,50
0,2,2.288388252258301,0.12,50
0,3,2.185778856277466,0.22,50
0,4,2.2408714294433594,0.22,50
0,5,2.1891815662384033,0.26,50
0,6,1.985825538635254,0.24,50
0,7,2.0144050121307373,0.36,50
0,8,1.9992519617080688,0.34,50
0,9,1.8670001029968262,0.38,50
0,10,1.871666431427002,0.4,50
0,11,1.7279225587844849,0.48,50
0,12,1.7405669689178467,0.56,50
0,13,1.749822974205017,0.58,50
0,14,1.5593434572219849,0.6,50
0,15,1.5184357166290283,0.66,50
0,16,1.4152888059616089,0.82,50
0,17,1.4267840385437012,0.72,50
0,18,1.3634027242660522,0.64,50
0,19,1.3538185358047485,0.7,50
0,20,1.3182992935180664,0.74,50
0,21,1.453877329826355,0.6304347826086957,46
1,0,1.0756542682647705,0.92,50
1,1,1.0433971881866455,0.94,50
1,2,1.272059679031372,0.76,50
1,3,1.1984150409698486,0.8,50
1,4,1.0195106267929077,0.92,50
1,5,0.9462451934814453,0.96,50
1,6,0.9818288683891296,0.88,50
1,7,0.9736250042915344,0.82,50
1,8,0.8747556209564209,0.92,50
1,9,0.9585621356964111,0.9,50
1,10,0.9736487865447998,0.86,50
1,11,0.903464674949646,0.88,50
1,12,0.8654255867004395,0.9,50
1,13,0.8369883894920349,0.96,50
1,14,0.8351992964744568,0.94,50
1,15,0.8354811668395996,0.92,50
1,16,0.7439643144607544,0.92,50
1,17,0.7511119842529297,0.98,50
1,18,0.7727478742599487,0.88,50
1,19,0.6515107750892639,0.98,50
1,20,0.737209677696228,0.94,50
1,21,0.6637717485427856,0.9565217391304348,46
2,0,0.6085134744644165,0.98,50
2,1,0.5436261892318726,1.0,50
2,2,0.6533480286598206,0.88,50
2,3,0.6337234377861023,0.96,50
2,4,0.531604528427124,0.96,50
2,5,0.5773168802261353,0.94,50
2,6,0.7057642936706543,0.86,50
2,7,0.5778754949569702,0.96,50
2,8,0.5899562239646912,0.88,50
2,9,0.49364757537841797,0.96,50
2,10,0.6525271534919739,0.98,50
2,11,0.46222609281539917,0.96,50
2,12,0.5126070976257324,0.94,50
2,13,0.4861376881599426,0.96,50
2,14,0.47220340371131897,0.98,50
2,15,0.4620109796524048,0.96,50
2,16,0.4691842794418335,0.96,50
2,17,0.4291627109050751,0.96,50
2,18,0.3864555060863495,1.0,50
2,19,0.4165067970752716,0.98,50
2,20,0.5092324018478394,0.96,50
2,21,0.40370091795921326,0.9782608695652174,46
3,0,0.5391221046447754,1.0,50
3,1,0.3624110817909241,0.98,50
3,2,0.3785076141357422,0.98,50
3,3,0.40679776668548584,0.94,50
3,4,0.3869273364543915,0.96,50
3,5,0.40612637996673584,1.0,50
3,6,0.3468846380710602,0.98,50
3,7,0.37039440870285034,1.0,50
3,8,0.3433264493942261,1.0,50
3,9,0.3542281985282898,0.98,50
3,10,0.3041549623012543,1.0,50
3,11,0.3914349675178528,0.92,50
3,12,0.4106038808822632,0.96,50
3,13,0.28120335936546326,1.0,50
3,14,0.3432374596595764,0.98,50
3,15,0.46173009276390076,0.9,50
3,16,0.3092480003833771,0.96,50
3,17,0.3344884514808655,0.96,50
3,18,0.4015825390815735,0.96,50
3,19,0.2249748259782791,1.0,50
3,20,0.2935871183872223,0.98,50
3,21,0.2725427746772766,0.9782608695652174,46
4,0,0.32832664251327515,0.94,50
4,1,0.32640501856803894,1.0,50
4,2,0.2812609374523163,1.0,50
4,3,0.2943078875541687,0.96,50
4,4,0.3653373420238495,0.98,50
4,5,0.22923703491687775,1.0,50
4,6,0.3054320216178894,0.98,50
4,7,0.2412337064743042,0.98,50
4,8,0.3326258957386017,0.98,50
4,9,0.24291019141674042,0.98,50
4,10,0.3230518698692322,0.96,50
4,11,0.27300670742988586,0.98,50
4,12,0.31899383664131165,0.96,50
4,13,0.24815811216831207,0.98,50
4,14,0.3247794210910797,0.98,50
4,15,0.29218417406082153,0.96,50
4,16,0.2459620237350464,1.0,50
4,17,0.24797409772872925,0.98,50
4,18,0.19798725843429565,0.98,50
4,19,0.27252015471458435,0.96,50
4,20,0.26286134123802185,0.98,50
4,21,0.25516650080680847,0.9565217391304348,46
5,0,0.22060754895210266,0.98,50
5,1,0.2372608631849289,1.0,50
5,2,0.34950512647628784,0.96,50
5,3,0.22370217740535736,0.98,50
5,4,0.17155422270298004,1.0,50
5,5,0.23100681602954865,0.98,50
5,6,0.34316906332969666,0.94,50
5,7,0.2587469816207886,1.0,50
5,8,0.1834002286195755,1.0,50
5,9,0.21094933152198792,1.0,50
5,10,0.26061922311782837,0.96,50
5,11,0.2532774806022644,0.94,50
5,12,0.19670815765857697,0.98,50
5,13,0.22396443784236908,1.0,50
5,14,0.16332775354385376,0.98,50
5,15,0.21791265904903412,1.0,50
5,16,0.25613728165626526,0.98,50
5,17,0.23660129308700562,0.98,50
5,18,0.3116503059864044,0.96,50
5,19,0.22245754301548004,1.0,50
5,20,0.1989256739616394,0.98,50
5,21,0.18015983700752258,1.0,46
6,0,0.20741508901119232,0.98,50
6,1,0.1972549855709076,1.0,50
6,2,0.21149617433547974,0.98,50
6,3,0.16028913855552673,1.0,50
6,4,0.28373655676841736,0.96,50
6,5,0.2884037494659424,0.96,50
6,6,0.1780434101819992,1.0,50
6,7,0.17156219482421875,1.0,50
6,8,0.1939799189567566,0.98,50
6,9,0.13581833243370056,1.0,50
6,10,0.2534162402153015,0.94,50
6,11,0.22325319051742554,0.98,50
6,12,0.19529376924037933,1.0,50
6,13,0.1749352514743805,0.96,50
6,14,0.21449783444404602,0.98,50
6,15,0.23098218441009521,0.96,50
6,16,0.16862012445926666,0.96,50
6,17,0.15487410128116608,0.98,50
6,18,0.24306009709835052,0.98,50
6,19,0.12236061692237854,1.0,50
6,20,0.25463417172431946,0.94,50
6,21,0.1513855904340744,1.0,46
7,0,0.20061160624027252,0.96,50
7,1,0.18024364113807678,1.0,50
7,2,0.1803956925868988,1.0,50
7,3,0.1368875354528427,1.0,50
7,4,0.19651256501674652,0.98,50
7,5,0.13253168761730194,0.98,50
7,6,0.1414453536272049,1.0,50
7,7,0.16312070190906525,1.0,50
7,8,0.15619973838329315,1.0,50
7,9,0.23926366865634918,0.96,50
7,10,0.18775688111782074,0.98,50
7,11,0.1814131736755371,1.0,50
7,12,0.15073780715465546,1.0,50
7,13,0.12815673649311066,0.98,50
7,14,0.22532100975513458,0.98,50
7,15,0.16737759113311768,0.98,50
7,16,0.18392246961593628,0.98,50
7,17,0.24274319410324097,0.96,50
7,18,0.18116405606269836,0.96,50
7,19,0.15765467286109924,0.98,50
7,20,0.1437607705593109,1.0,50
7,21,0.0949811190366745,1.0,46
8,0,0.10085313767194748,1.0,50
8,1,0.13153640925884247,1.0,50
8,2,0.1428249478340149,0.98,50
8,3,0.16518649458885193,1.0,50
8,4,0.1251944750547409,1.0,50
8,5,0.14981709420681,0.98,50
8,6,0.11970904469490051,0.98,50
8,7,0.10220720618963242,1.0,50
8,8,0.13929817080497742,0.98,50
8,9,0.20188671350479126,0.96,50
8,10,0.1278294324874878,1.0,50
8,11,0.13687562942504883,1.0,50
8,12,0.18101324141025543,1.0,50
8,13,0.09949272871017456,1.0,50
8,14,0.17218910157680511,0.98,50
8,15,0.17793363332748413,1.0,50
8,16,0.11036531627178192,0.98,50
8,17,0.12925611436367035,1.0,50
8,18,0.1741533726453781,0.98,50
8,19,0.22585907578468323,0.94,50
8,20,0.1420125812292099,1.0,50
8,21,0.09297383576631546,1.0,46
9,0,0.10481506586074829,1.0,50
9,1,0.10818301141262054,1.0,50
9,2,0.1586800217628479,1.0,50
9,3,0.1344251036643982,0.98,50
9,4,0.10976741462945938,1.0,50
9,5,0.13458751142024994,0.98,50
9,6,0.13733573257923126,1.0,50
9,7,0.11205995827913284,0.98,50
9,8,0.17085163295269012,0.96,50
9,9,0.13458099961280823,0.98,50
9,10,0.16025401651859283,1.0,50
9,11,0.1343853622674942,0.98,50
9,12,0.1707225739955902,0.98,50
9,13,0.1755324900150299,0.96,50
9,14,0.122939832508564,1.0,50
9,15,0.14547979831695557,1.0,50
9,16,0.2542366683483124,0.96,50
9,17,0.11487694829702377,0.98,50
9,18,0.12925592064857483,0.98,50
9,19,0.1242934912443161,1.0,50
9,20,0.06882374733686447,1.0,50
9,21,0.12882937490940094,1.0,46
